Country Name,Country Code,Region,m1970,m1971,m1972,m1973,m1974,m1975,m1976,m1977,m1978,m1979,m1980,m1981,m1982,m1983,m1984,m1985,m1986,m1987,m1988,m1989,m1990,m1991,m1992,m1993,m1994,m1995,m1996,m1997,m1998,m1999,m2000,m2001,m2002,m2003,m2004,m2005,m2006,m2007,m2008,m2009,m2010,m2011,m2012,m2013,m2014,m2015,m2016,f1970,f1971,f1972,f1973,f1974,f1975,f1976,f1977,f1978,f1979,f1980,f1981,f1982,f1983,f1984,f1985,f1986,f1987,f1988,f1989,f1990,f1991,f1992,f1993,f1994,f1995,f1996,f1997,f1998,f1999,f2000,f2001,f2002,f2003,f2004,f2005,f2006,f2007,f2008,f2009,f2010,f2011,f2012,f2013,f2014,f2015,f2016,i1970,i1971,i1972,i1973,i1974,i1975,i1976,i1977,i1978,i1979,i1980,i1981,i1982,i1983,i1984,i1985,i1986,i1987,i1988,i1989,i1990,i1991,i1992,i1993,i1994,i1995,i1996,i1997,i1998,i1999,i2000,i2001,i2002,i2003,i2004,i2005,i2006,i2007,i2008,i2009,i2010,i2011,i2012,i2013,i2014,i2015,i2016
Aruba,ABW,Latin America & Caribbean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,908","2,788","2,691","2,613","2,552","2,506","2,472","2,446","2,425","2,408","2,392","2,377","2,364","2,353","2,342","2,332","2,32","2,307","2,291","2,272","2,249","2,221","2,187","2,149","2,108","2,064","2,021","1,978","1,939","1,903","1,872","1,846","1,823","1,803","1,787","1,774","1,766","1,763","1,764","1,769","1,776","1,783","1,791","1,796","1,8","1,801","1,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,South Asia,"204,8",201,197,"193,1","188,8","184,7","180,6","176,3",172,"167,7","163,3","158,9","154,4","149,8","145,6","141,3",137,"132,7","128,5","124,3","120,2","116,4","112,9","109,5","106,3","103,3","100,5","97,9","95,4","93,1","90,8","88,4","86,1","83,6","81,1","78,5",76,"73,4","70,8","68,2","65,7","63,3",61,"58,8","56,8","54,9","53,2","7,45","7,45","7,45","7,45","7,45","7,45","7,45","7,449","7,449","7,449","7,449","7,449","7,45","7,452","7,455","7,458","7,46","7,461","7,461","7,461","7,466","7,479","7,502","7,535","7,572","7,606","7,63","7,635","7,616","7,569","7,494","7,392","7,271","7,136","6,988","6,827","6,651","6,46","6,254","6,038","5,816","5,595","5,38","5,174","4,981","4,802","4,635","150,5673375","153,663587","130,8473597","138,2717695","167,5078689","178,6355515","189,1131622","214,7444372","236,9159463","263,6614699","259,3380141","252,1107684",,,,,,,,,,,,,,,,,,,,"106,8128139","169,8841288","178,7250741","196,1998917","225,798615","245,1461538","331,3254993","331,2271678","395,5679021","486,9793222","535,3307235","590,4566662","559,223161","548,5265822","494,2921982","489,7756091"
Angola,AGO,Sub-Saharan Africa,,,,,,,,,,,"139,7",138,"136,2","134,6","133,2","132,3","131,5","131,1","130,8","130,7","130,9","131,2","131,6",132,"132,2",132,"131,2","129,9","128,1","125,8","122,9","119,6","115,8","111,3","106,6","101,5","96,3","90,9","85,6","80,3","75,4","70,7","66,5","62,7","59,5","56,9","54,6","7,601","7,603","7,606","7,611","7,614","7,615","7,609","7,594","7,571","7,54","7,504","7,469","7,438","7,413","7,394","7,38","7,366","7,349","7,324","7,291","7,247","7,193","7,13","7,063","6,992","6,922","6,854","6,791","6,734","6,683","6,639","6,602","6,568","6,536","6,502","6,465","6,42","6,368","6,307","6,238","6,162","6,082",6,"5,92","5,841","5,766","5,694",,,,,,,,,,,,,,,,"390,8967401","406,9262451","353,1213113","337,7341722","498,1468049","419,0571471","461,8442615","2,128149855","7,18168832","-51,5616455","45,56075769","74,23337232","109,3019068","140,5562043","15,42949424","-15,04187229","83,42821067","224,8884992","267,7905839","281,2759143","226,4059786","453,7575313","629,2704433","251,732843","902,6093382","1095,241414","1219,032021","1492,119826","1853,506007","2091,133487","2062,581538","1777,44841"
Albania,ALB,Europe & Central Asia,,,,,,,,,"72,7",68,"63,4","59,1","55,4","51,7","48,4","45,3","42,5","40,1",38,"36,2","34,7","33,3","32,1",31,30,"28,9","27,7","26,6","25,4","24,2","23,1",22,"20,9",20,19,"18,2","17,4","16,7",16,"15,4","14,8","14,3","13,8","13,3","12,9","12,5",12,"4,91","4,775","4,642","4,509","4,373","4,235","4,099","3,966","3,841","3,725","3,621","3,53","3,452","3,383","3,323","3,269","3,217","3,164","3,108","3,046","2,978","2,905","2,829","2,751","2,672","2,591","2,507","2,422","2,334","2,246","2,157","2,068","1,981","1,897","1,821","1,754","1,703","1,668","1,65","1,646","1,653","1,668","1,685","1,7","1,71","1,714","1,713",,,,,,,,,,,,,,,"519,8238187","522,3605453","624,3746065","595,0007801","575,7327444","611,5528435","539,5648334","290,3006411","175,5259872","341,923968","571,3529041","717,6025496","1000,438491","705,1624706","820,012269","1042,310201","1120,14233","1265,039627","1369,505677","1784,39647","2274,730598","2535,164806","2838,874385","3343,591615","3961,319155","3622,890286","3530,054028","3850,766176","3641,192766","3866,501647","3937,222372","3458,725714","3606,903851"
Andorra,AND,Europe & Central Asia,,,,,,,,,,,,,,,,"10,6","9,8","9,2","8,5","7,9","7,4","6,8","6,3","5,9","5,5","5,2","4,9","4,6","4,3","4,2",4,"3,8","3,7","3,6","3,5","3,3","3,3","3,2","3,1",3,"2,9","2,9","2,8","2,7","2,6","2,5","2,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,24","1,18","1,25","1,19","1,27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Middle East & North Africa,71,"65,1","59,6","54,7","50,2",46,"42,1","38,4",35,"31,9","29,1","26,5","24,4","22,4","20,8","19,4","18,1","16,9","15,9",15,"14,2","13,5","12,8","12,3","11,8","11,3","10,9","10,5","10,2","9,9","9,6","9,3","9,1","8,9","8,6","8,4","8,2",8,"7,8","7,5","7,3","7,1",7,"6,9","6,8","6,7","6,6","6,655","6,579","6,484","6,372","6,245","6,111","5,973","5,84","5,716","5,603","5,505","5,422","5,35","5,283","5,215","5,139","5,047","4,934","4,797","4,636","4,454","4,253","4,041","3,827","3,618","3,418","3,232","3,062","2,907","2,768","2,644","2,532","2,428","2,33","2,238","2,151","2,073","2,005","1,949","1,904","1,869","1,841","1,82","1,801","1,783","1,765","1,748",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28841,4412","28112,50072","29364,35603","32255,77622","33569,45841","36441,68228","37482,24478","38797,26142","28477,52473","31838,80908","36073,89773","37488,8798","39177,73018","40215,9679","36232,32285","34595,75031"
Argentina,ARG,Latin America & Caribbean,"59,4","58,7","57,8","56,7","55,2","53,1","50,5","47,3","43,9","40,5","37,5","34,7","32,4","30,4","28,7","27,4","26,4","25,9","25,7","25,6","25,5","25,1","24,4","23,6","22,6","21,6","20,6","19,7","18,8",18,"17,3","16,7","16,2","15,7","15,2","14,8","14,4","14,1","13,7","13,4","12,9","12,4","11,9","11,3","10,8","10,3","9,9","3,073","3,104","3,148","3,203","3,264","3,321","3,366","3,391","3,391","3,368","3,325","3,27","3,213","3,163","3,123","3,093","3,073","3,056","3,037","3,016","2,989","2,954","2,913","2,866","2,815","2,762","2,711","2,664","2,623","2,589","2,561","2,537","2,516","2,495","2,474","2,452","2,432","2,413","2,396","2,382","2,37","2,358","2,347","2,335","2,322","2,308","2,293","1195,191954","1304,830589","1299,440586","1971,027932","2652,003868","1899,230507","1789,809458","1942,629092","1951,196668","2231,522073","2414,597731","2405,880341","2475,942761","3014,43653","2257,998207","2479,274899","3164,769678","3094,315225","3487,511266","1929,283049","3713,732808","5086,328704","6172,401144","6338,668845","6773,74479","6605,785385","6863,789042","7122,696151","7193,568354","6641,347892","6530,061443","6073,10801","1929,413754","2628,248069","3405,837277","4164,440169","4868,405891","6074,411384","7555,321873","6929,449884","8747,586438","10926,70693","11185,78485","11210,87566","10547,20618","11738,07146","10723,5525"
Armenia,ARM,Europe & Central Asia,,,,,,,71,"68,4","65,9","63,6","61,3","59,1","57,1","55,1","53,2","51,4","49,5","47,8","49,9","44,2","42,4","40,6","38,8",37,"35,3","33,6","32,1","30,6","29,2","27,8","26,6","25,3","24,1",23,"21,9","20,8","19,8","18,8","17,9",17,"16,2","15,3","14,6","13,8","13,2","12,5","11,9","3,199","3,114","3,035","2,956","2,875","2,792","2,712","2,641","2,582","2,538","2,51","2,499","2,503","2,517","2,538","2,559","2,578","2,591","2,592","2,578","2,544","2,484","2,4","2,297","2,179","2,056","1,938","1,832","1,747","1,685","1,648","1,635","1,637","1,648","1,665","1,681","1,694","1,702","1,706","1,703","1,693","1,68","1,664","1,648","1,634","1,622","1,612",,,,,,,,,,,,,,,,,,,,,,,,,,,,"470,7703643",,,"539,6935216","606,0076707","682,849075","815,8932442","1047,910412","1475,618612","1959,619521","2886,462806","3741,633093","2723,483014","2918,110539","3143,545827","3280,341004","3514,236835","3589,730537","3173,764425","3087,80998"
American Samoa,ASM,East Asia & Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Latin America & Caribbean,,,,,,,,,,,,,,,,"34,2",32,"30,1","28,2","26,5","24,9","23,3","21,9","20,4","19,2",18,"16,9","15,8","14,9","13,9","13,1","12,3","11,7","11,1","10,5","9,9","9,4","8,9","8,4","7,9","7,4","6,9","6,5","6,1","5,7","5,3","5,1","3,684","3,517","3,328","3,122","2,908","2,701","2,514","2,358","2,239","2,159","2,115","2,098","2,096","2,098","2,098","2,092","2,082","2,07","2,062","2,058","2,061","2,073","2,096","2,128","2,166","2,208","2,248","2,281","2,304","2,316","2,316","2,305","2,288","2,268","2,246","2,224","2,203","2,183","2,164","2,146","2,13","2,115","2,102","2,089","2,076","2,063","2,051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
